Scenario,Train_Set,Test_Set,Model,Fold_Info,Accuracy,Precision,Recall,F1-Score
S1_Baseline,KDD,KDD,M2_XGBoost,Rep_2_Fold_2,0.9742629328360608,0.988361556893462,0.9795840983475692,0.9839532529492538
S1_Baseline,KDD,KDD,M3_IsolationForest,Rep_2_Fold_2,0.20509275632575635,0.552397586535408,0.06943003113275326,0.12335567138247704
S1_Baseline,KDD,KDD,M1_LogisticRegression,Rep_2_Fold_3,0.944651641320773,0.9692611791282599,0.9616000320166487,0.9654154068687031
S1_Baseline,KDD,KDD,M2_XGBoost,Rep_2_Fold_3,0.9750667138218179,0.9881646067302458,0.9807099691839757,0.9844231754225627
S1_Baseline,KDD,KDD,M3_IsolationForest,Rep_2_Fold_3,0.2064752596212584,0.5494825355756792,0.06799535758594469,0.12101570568752448
S1_Baseline,KDD,KDD,M1_LogisticRegression,Rep_2_Fold_4,0.9444908851236216,0.968624376909471,0.9622227103009005,0.9654129313367056
S1_Baseline,KDD,KDD,M2_XGBoost,Rep_2_Fold_4,0.9753239237372601,0.98841046277666,0.9808517860351816,0.9846166180611928
S1_Baseline,KDD,KDD,M3_IsolationForest,Rep_2_Fold_4,0.20379063112883003,0.5439264192832223,0.06848631272088333,0.12165493269964
S1_Baseline,KDD,KDD,M1_LogisticRegression,Rep_2_Fold_5,0.9447472068161723,0.9704454338497491,0.9607100119664939,0.9655531835994268
S1_Baseline,KDD,KDD,M2_XGBoost,Rep_2_Fold_5,0.9738766980146291,0.988678257015653,0.9787993617869964,0.9837140079575862
S1_Baseline,KDD,KDD,M3_IsolationForest,Rep_2_Fold_5,0.19924443372719236,0.5266742338251986,0.06477861986437973,0.11536753867192356
S1_Baseline,CORES,CORES,M1_LogisticRegression,Rep_1_Fold_1,0.9558909541511772,0.9236663516879993,0.9998791113756196,0.9602629193514537
S1_Baseline,CORES,CORES,M2_XGBoost,Rep_1_Fold_1,0.9559206939281288,0.9236557292561416,0.9999535043752383,0.9602914845260474
S1_Baseline,CORES,CORES,M3_IsolationForest,Rep_1_Fold_1,0.4837026022304833,0.5844428871758934,0.10857658294354501,0.1831313963063169
S1_Baseline,CORES,CORES,M1_LogisticRegression,Rep_1_Fold_2,0.956907063197026,0.9253606936316843,0.9999257161428107,0.9611992787903673
S1_Baseline,CORES,CORES,M2_XGBoost,Rep_1_Fold_2,0.9569169764560099,0.9253546663000422,0.9999535725892567,0.961208897140205
S1_Baseline,CORES,CORES,M3_IsolationForest,Rep_1_Fold_2,0.4832267657992565,0.5847056503303422,0.11011653280096569,0.18533017651609274
S1_Baseline,CORES,CORES,M1_LogisticRegression,Rep_1_Fold_3,0.9569417596034696,0.9256206852193302,0.9998703055231319,0.961313910871027
S1_Baseline,CORES,CORES,M2_XGBoost,Rep_1_Fold_3,0.9569467162329616,0.9256213230880057,0.9998795694143368,0.9613185364637145
S1_Baseline,CORES,CORES,M3_IsolationForest,Rep_1_Fold_3,0.47086988847583644,0.529674917983895,0.09871602467900617,0.1664167916041979
S1_Baseline,CORES,CORES,M1_LogisticRegression,Rep_1_Fold_4,0.9572240754601015,0.9262425549394127,0.9998983814943463,0.9616621650437132
S1_Baseline,CORES,CORES,M2_XGBoost,Rep_1_Fold_4,0.9572290321141617,0.9262285963666236,0.9999260956322519,0.9616674588754781
S1_Baseline,CORES,CORES,M3_IsolationForest,Rep_1_Fold_4,0.48426510168575804,0.6044475399233868,0.11224225851747838,0.1893275366383844
