Scenario,Train_Set,Test_Set,Model,Fold,Accuracy,Precision,Recall,F1-Score,Threshold
S2_Transfer,KDD,CORES,M1_LogisticRegression,1,0.5256357385590851,0.5305464884491691,0.9812965616444197,0.688726842214821,0.35
S2_Transfer,KDD,CORES,M2_XGBoost,1,0.7596188542629081,0.8680079006911866,0.649242872210472,0.7428540523573091,0.49999999999999994
S2_Transfer,KDD,CORES,M3_IsolationForest,1,0.5347946166931682,0.5347946166931682,1.0,0.6968940480719484,
S2_Transfer,KDD,CORES,M1_LogisticRegression,2,0.5256357385590851,0.5305464884491691,0.9812965616444197,0.688726842214821,0.35
S2_Transfer,KDD,CORES,M2_XGBoost,2,0.7596208369186358,0.8680359174285778,0.6492187746189336,0.7428485376805232,0.49999999999999994
S2_Transfer,KDD,CORES,M3_IsolationForest,2,0.5347946166931682,0.5347946166931682,1.0,0.6968940480719484,
S2_Transfer,KDD,NETFLOW,M1_LogisticRegression,1,0.49842514871188576,0.5611829815674518,0.408176879824645,0.4726045043745429,0.35
S2_Transfer,KDD,NETFLOW,M2_XGBoost,1,0.482550031554792,0.5822178681512986,0.21304198430233523,0.31194042939432753,0.49999999999999994
S2_Transfer,KDD,NETFLOW,M3_IsolationForest,1,0.5505735943916713,0.5505770510175296,0.9999728958667945,0.7101507812890501,
S2_Transfer,KDD,NETFLOW,M1_LogisticRegression,2,0.49842514871188576,0.5611829815674518,0.408176879824645,0.4726045043745429,0.35
S2_Transfer,KDD,NETFLOW,M2_XGBoost,2,0.4822048784526743,0.5793871541580305,0.21727809802428355,0.316037729850304,0.49999999999999994
